Date,Payment,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Revenue
2019-02-25,Ewallet,300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,430.2
2019-03-05,Ewallet,371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,263.94
2019-03-15,Credit card,273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,66.4
2019-02-17,Ewallet,636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,172.8
2019-03-02,Ewallet,549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,265.89
2019-03-22,Credit card,227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,420.72
2019-02-08,Cash,649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,33.52
2019-03-10,Credit card,189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,175.34
2019-01-25,Cash,145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,441.8
2019-03-15,Cash,848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,224.01
2019-02-25,Credit card,871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,470.65
2019-01-28,Cash,149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,702.63
2019-01-10,Cash,640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,670.24
2019-03-15,Credit card,595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,193.16
2019-02-06,Ewallet,183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,397.68
2019-01-07,Ewallet,232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,68.12
2019-03-10,Ewallet,129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,313.1
2019-01-15,Ewallet,272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,547.92
2019-03-23,Ewallet,333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,439.36
2019-03-03,Cash,777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,240.96
2019-01-17,Ewallet,280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,86.72
2019-02-02,Cash,554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,112.22
2019-02-08,Cash,354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,414.72
2019-03-04,Cash,228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,789.6
2019-03-16,Cash,617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,30.74
2019-03-09,Cash,132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,375.84
2019-02-27,Credit card,370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,510.21
2019-02-06,Ewallet,727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,180.09
2019-02-10,Credit card,669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,113.58
2019-03-19,Ewallet,574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,826.3
2019-02-03,Cash,326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,639.8
2019-02-10,Cash,162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,222.95
2019-03-22,Ewallet,616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,71.48
2019-01-25,Credit card,778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,15.43
2019-03-07,Ewallet,242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,32.32
2019-02-28,Cash,399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,687.84
2019-03-27,Cash,106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,88.68
2019-02-07,Ewallet,635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,716.8
2019-01-20,Cash,817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,723.5
2019-03-12,Cash,120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,183.66
2019-02-15,Credit card,285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,74.22
2019-02-24,Ewallet,803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,334.38
2019-02-03,Ewallet,347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,495.63
2019-03-06,Credit card,199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,158.1
2019-02-14,Cash,853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,302.96
2019-03-13,Cash,877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,158.7
2019-02-10,Ewallet,838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,66.94
2019-01-07,Ewallet,109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,585.66
2019-01-24,Cash,232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,787.7
2019-02-02,Cash,382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,18.33
2019-01-06,Credit card,393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,894.8
2019-02-11,Cash,796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,621.2
2019-03-05,Ewallet,510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,145.56
2019-03-09,Cash,841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,455.46
2019-01-22,Ewallet,287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,672.03
2019-01-13,Credit card,732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,416.5
2019-01-09,Credit card,263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,441.36
2019-01-12,Credit card,381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,180.09
2019-03-05,Ewallet,829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,783.1
2019-01-22,Cash,756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,101.9
2019-01-21,Credit card,870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,595.14
2019-01-26,Ewallet,847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,290.04
2019-01-23,Ewallet,480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,154
2019-02-23,Credit card,787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,321.44
2019-03-09,Cash,360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,244.55
2019-03-05,Ewallet,730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,581.42
2019-03-25,Cash,362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,382.6
2019-03-27,Credit card,633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,345.66
2019-01-02,Cash,504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,42.47
2019-02-27,Cash,318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,461.94
2019-01-23,Cash,565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,189.52
2019-01-26,Ewallet,225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,448.6
2019-01-10,Ewallet,873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,153.86
2019-03-12,Credit card,152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,579.24
2019-02-06,Credit card,512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,89.75
2019-03-08,Ewallet,594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,97.16
2019-03-29,Ewallet,766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,878.7
2019-02-09,Cash,871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,74.7
2019-03-23,Ewallet,865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,158.25
2019-03-05,Cash,733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,496.2
2019-03-26,Cash,163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,48.71
2019-03-01,Cash,189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,706.95
2019-02-01,Cash,551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,207.63
2019-03-28,Cash,212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,349.56
2019-03-19,Cash,716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,212.45
2019-01-12,Ewallet,704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,886.7
2019-01-05,Credit card,628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,164.28
2019-03-22,Cash,630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,372.78
2019-03-24,Cash,588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,305.82
2019-03-03,Cash,861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,819.7
2019-02-05,Ewallet,479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,32.98
2019-02-05,Credit card,210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,294.63
2019-02-15,Cash,227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,509.88
2019-01-19,Ewallet,645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,522.63
2019-02-01,Credit card,237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,727.11
2019-03-02,Credit card,225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,81.06
2019-03-05,Ewallet,291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,109.7
2019-01-16,Ewallet,659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,51.36
2019-02-02,Ewallet,642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,109.6
2019-01-20,Ewallet,378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,106.88
2019-02-14,Credit card,638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,796.48
2019-01-12,Credit card,659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,399.84
2019-03-09,Credit card,219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,899.64
2019-03-13,Credit card,336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,511.28
2019-03-09,Ewallet,268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,451.76
2019-03-10,Credit card,668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,655.83
2019-01-27,Cash,870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,161.25
2019-01-08,Credit card,189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,285.57
2019-01-08,Ewallet,663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,548.32
2019-02-08,Ewallet,549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,812.52
2019-01-25,Cash,191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,277.34
2019-03-06,Cash,802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,552.78
2019-02-10,Cash,695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,139.36
2019-02-17,Credit card,590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,524.7
2019-03-08,Ewallet,483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,487.8
2019-02-18,Cash,597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,270.66
2019-01-18,Credit card,700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,131.55
2019-02-18,Cash,354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,206.52
2019-02-16,Cash,241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,519.1
2019-03-16,Ewallet,575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,580
2019-01-23,Credit card,731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,898
2019-01-25,Cash,280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,905
2019-02-05,Cash,338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,686
2019-02-22,Credit card,488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,30.41
2019-01-21,Ewallet,239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,467.7
2019-03-08,Credit card,458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,277.56
2019-02-10,Ewallet,685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,301.4
2019-03-19,Credit card,568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,264.56
2019-03-06,Credit card,262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,574.88
2019-03-27,Credit card,238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,259.68
2019-03-23,Credit card,608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,366.16
2019-03-11,Credit card,584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,241.92
2019-01-29,Credit card,746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,749.16
2019-02-07,Ewallet,214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,98.88
2019-01-28,Cash,400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,647.76
2019-02-20,Credit card,782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,461.45
2019-01-04,Cash,279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,72.17
2019-03-07,Ewallet,307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,251.4
2019-03-30,Ewallet,743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,874.98
2019-03-27,Ewallet,423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,560.34
2019-01-19,Credit card,894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,345.44
2019-02-25,Cash,275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,63.69
2019-03-13,Credit card,101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,320.53
2019-01-30,Ewallet,423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,152.8
2019-02-20,Credit card,548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,399
2019-02-25,Ewallet,505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,340.56
2019-01-16,Cash,234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,955.8
2019-02-08,Credit card,687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,989.8
2019-01-19,Cash,796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,307.68
2019-02-01,Credit card,105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,486.64
2019-01-03,Ewallet,249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,350.05
2019-01-26,Credit card,316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,400.25
2019-03-03,Cash,733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,166.8
2019-01-19,Credit card,608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,317.34
2019-01-18,Ewallet,414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,158.32
2019-03-21,Ewallet,827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,304.56
2019-03-03,Credit card,175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,177.36
2019-02-13,Credit card,139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,157.57
2019-03-23,Ewallet,407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,443.28
2019-01-28,Ewallet,342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,260.4
2019-02-09,Cash,130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,449.82
2019-01-23,Cash,434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,307.76
2019-03-23,Ewallet,851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,155
2019-01-25,Ewallet,824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,274.48
2019-03-04,Credit card,586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,86.38
2019-03-05,Ewallet,895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,54.24
2019-03-03,Ewallet,305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,755.92
2019-02-08,Cash,732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,185.88
2019-02-10,Ewallet,400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,74.07
2019-01-28,Credit card,593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,279.24
2019-02-11,Credit card,284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,231.12
2019-01-15,Ewallet,437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,147.04
2019-03-16,Cash,286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.8,9,790.2
2019-01-26,Ewallet,641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,102.2
2019-03-19,Credit card,831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,163.55
2019-01-13,Cash,556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,74.29
2019-03-26,Cash,848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.7,2,87.4
2019-03-23,Ewallet,856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,25.29
2019-03-12,Credit card,699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,41.5,4,166
2019-02-17,Credit card,420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,71.39,5,356.95
2019-01-29,Credit card,606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,114.9
2019-03-15,Cash,542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4,229.96
2019-01-14,Cash,426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,429.87
2019-02-06,Ewallet,875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.9,10,259
2019-02-15,Credit card,394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77,5,88.85
2019-01-03,Ewallet,749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,207.27
2019-01-04,Credit card,672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,599.85
2019-03-18,Ewallet,263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,285.3
2019-03-28,Ewallet,573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,30.37,3,91.11
2019-03-02,Credit card,817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,897.57
2019-01-25,Ewallet,888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9,236.07
2019-01-16,Cash,677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,839.34
2019-03-20,Ewallet,142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,461.8
2019-01-04,Credit card,656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,139.26
2019-03-11,Cash,891-58-8335,B,Mandalay,Member,Female,Sports and travel,29.61,7,207.27
2019-03-22,Credit card,802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,18.28,1,18.28
2019-03-24,Cash,560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24.77,5,123.85
2019-02-21,Cash,319-74-2561,A,Yangon,Member,Female,Electronic accessories,94.64,3,283.92
2019-02-12,Ewallet,549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,94.87,8,758.96
2019-03-10,Credit card,790-29-1172,B,Mandalay,Normal,Female,Food and beverages,57.34,3,172.02
2019-01-31,Ewallet,239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35,6,272.1
2019-03-06,Ewallet,468-01-2051,B,Mandalay,Normal,Male,Food and beverages,62.08,7,434.56
2019-02-17,Cash,389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories,11.81,5,59.05
2019-02-21,Cash,279-62-1445,C,Naypyitaw,Member,Female,Fashion accessories,12.54,1,12.54
2019-03-20,Cash,213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2,86.5
2019-01-11,Credit card,746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16,2,174.32
2019-01-26,Ewallet,836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37,9,624.33
2019-01-31,Ewallet,583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06,4,148.24
2019-02-26,Cash,466-61-5506,B,Mandalay,Member,Female,Electronic accessories,90.7,6,544.2
2019-03-11,Ewallet,721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,63.42,8,507.36
2019-01-26,Cash,289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37,2,162.74
2019-03-12,Credit card,545-46-3100,B,Mandalay,Member,Female,Electronic accessories,10.59,3,31.77
2019-02-11,Cash,418-02-5978,B,Mandalay,Normal,Female,Health and beauty,84.09,9,756.81
2019-02-21,Cash,269-04-5750,B,Mandalay,Member,Male,Fashion accessories,73.82,4,295.28
2019-03-09,Ewallet,157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94,10,519.4
2019-01-20,Ewallet,645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14,2,186.28
2019-01-28,Credit card,211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,17.41,5,87.05
2019-03-05,Credit card,755-12-3214,C,Naypyitaw,Member,Female,Fashion accessories,44.22,5,221.1
2019-03-02,Cash,346-84-3103,B,Mandalay,Member,Female,Electronic accessories,13.22,5,66.1
2019-01-11,Ewallet,478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1,89.69
2019-01-11,Credit card,540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9,224.46
2019-03-11,Credit card,448-81-5016,A,Yangon,Normal,Male,Health and beauty,59.77,2,119.54
2019-02-28,Credit card,142-72-4741,C,Naypyitaw,Member,Male,Fashion accessories,93.2,2,186.4
2019-01-05,Cash,217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,250.6
2019-02-02,Credit card,376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,750.96
2019-01-01,Cash,530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,380.72
2019-02-09,Cash,866-05-7563,B,Mandalay,Member,Female,Electronic accessories,81.4,3,244.2
2019-01-23,Ewallet,604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94,5,89.7
2019-01-07,Credit card,799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,4,310.88
2019-01-14,Credit card,785-13-7708,B,Mandalay,Normal,Male,Food and beverages,73.06,7,511.42
2019-02-02,Ewallet,845-51-0542,B,Mandalay,Member,Male,Food and beverages,46.55,9,418.95
2019-03-17,Credit card,662-47-5456,C,Naypyitaw,Member,Male,Fashion accessories,35.19,10,351.9
2019-03-02,Credit card,883-17-4236,C,Naypyitaw,Normal,Female,Sports and travel,14.39,2,28.78
2019-03-16,Cash,290-68-2984,A,Yangon,Normal,Male,Home and lifestyle,23.75,4,95
2019-01-06,Cash,704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,8,471.2
2019-01-29,Cash,110-48-7033,B,Mandalay,Member,Male,Fashion accessories,32.62,4,130.48
2019-01-31,Credit card,366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35,1,66.35
2019-02-05,Ewallet,729-09-9681,A,Yangon,Member,Male,Home and lifestyle,25.91,6,155.46
2019-02-13,Ewallet,151-16-1484,A,Yangon,Member,Male,Electronic accessories,32.25,4,129
2019-02-07,Credit card,380-94-4661,C,Naypyitaw,Member,Male,Electronic accessories,65.94,4,263.76
2019-03-19,Ewallet,850-41-9669,A,Yangon,Normal,Female,Electronic accessories,75.06,9,675.54
2019-03-07,Ewallet,821-07-3596,C,Naypyitaw,Normal,Female,Fashion accessories,16.45,4,65.8
2019-03-13,Cash,655-85-5130,B,Mandalay,Member,Female,Fashion accessories,38.3,4,153.2
2019-02-09,Cash,447-15-7839,A,Yangon,Member,Female,Sports and travel,22.24,10,222.4
2019-02-26,Ewallet,154-74-7179,B,Mandalay,Normal,Male,Sports and travel,54.45,1,54.45
2019-03-12,Credit card,253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4,7,688.8
2019-03-14,Credit card,808-65-0703,C,Naypyitaw,Normal,Male,Home and lifestyle,35.47,4,141.88
2019-01-08,Cash,571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6,10,746
2019-01-05,Credit card,144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,282.96
2019-01-04,Ewallet,731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10,355.4
